school,test_optional,for_class_year,n_applicants,acceptance_rate,sat_25th,sat_75th,sat_median
Stanford University,Yes,2021,47452,0.043,1440.0,1570.0,1505.0
Harvard College,Yes,2021,42749,0.047,1460.0,1580.0,1520.0
Princeton University,Yes,2021,35370,0.055,1440.0,1570.0,1505.0
Columbia University,Yes,2021,40203,0.055,1450.0,1560.0,1505.0
Yale University,Yes,2021,36844,0.061,1460.0,1570.0,1515.0
California Institute of Technology,Yes (TB),2021 2022,8367,0.064,1530.0,1560.0,1545.0
Massachusetts Institute of Technology,Yes,2021,21706,0.067,1500.0,1570.0,1535.0
Brown University,Yes,2021,38674,0.071,1440.0,1570.0,1505.0
University of Chicago,Yes,All / Permanent Policy,32283,0.073,1490.0,1570.0,1530.0
Pomona College,Yes,2021,10401,0.07400000000000001,1390.0,1540.0,1465.0
University of Pennsylvania,Yes,2021,44961,0.077,1450.0,1560.0,1505.0
Dartmouth College,Yes,2021,23650,0.079,1440.0,1560.0,1500.0
Bowdoin College,Yes,All / Permanent Policy,9332,0.08800000000000001,1330.0,1520.0,1425.0
Duke University,Yes,2021,35767,0.08900000000000001,1450.0,1570.0,1510.0
Swarthmore College,Yes,2021 2022,11442,0.08900000000000001,1380.0,1540.0,1460.0
Northwestern University,Yes,2021,40585,0.091,1440.0,1550.0,1495.0
Vanderbilt University,Yes,2021,37310,0.091,1460.0,1560.0,1510.0
Claremont McKenna College,Yes,2021,6066,0.10300000000000001,1360.0,1510.0,1435.0
Johns Hopkins University,Yes,2021,29129,0.106,1470.0,1560.0,1515.0
Cornell University,Yes,2021,49114,0.109,1400.0,1560.0,1480.0
Rice University,Yes,2021,20923,0.111,1450.0,1560.0,1505.0
Amherst College,Yes,2021,10569,0.113,1410.0,1550.0,1480.0
Barnard College,Yes,2021,9320,0.11800000000000001,1340.0,1520.0,1430.0
Bates College,Yes,All / Permanent Policy,8222,0.121,1270.0,1480.0,1375.0
University of California—​Los Angeles,Yes,2021 2022 2023 2024,111322,0.12300000000000001,1290.0,1510.0,1400.0
Tulane University,Yes,2021,42185,0.129,1360.0,1520.0,1440.0
University of Southern California,Yes,2021,64352,0.13,1350.0,1530.0,1440.0
Williams College,Yes,2021,9560,0.13,1410.0,1550.0,1480.0
Colby College,Yes,All / Permanent Policy,12313,0.13,1350.0,1510.0,1430.0
Pitzer College,Yes,All / Permanent Policy,4358,0.133,1340.0,1490.0,1415.0
Colorado College,Yes,All / Permanent Policy,9456,0.135,1300.0,1480.0,1390.0
Harvey Mudd College,Yes,2021,4045,0.13699999999999998,1490.0,1570.0,1530.0
Georgetown University,Yes,2021,22872,0.145,1370.0,1530.0,1450.0
University of California—​Berkeley,Yes (TB),2021 2022 2023 2024,89621,0.14800000000000002,1300.0,1530.0,1415.0
Tufts University,Yes,2021 2022 2023,22766,0.15,1390.0,1540.0,1465.0
Washington University in St. Louis,Yes,2021,31320,0.15,1470.0,1570.0,1520.0
Middlebury College,Yes,2021 2022 2023,9754,0.154,1360.0,1530.0,1445.0
Carnegie Mellon University,Yes,2021,27634,0.154,1460.0,1560.0,1510.0
University of Notre Dame,Yes,2021,22200,0.158,1400.0,1550.0,1475.0
The Cooper Union,Yes,2021 2022,2447,0.16,1283.0,1510.0,1396.5
